year,quarter,DCKB Datacenter ID,Company,DCKB Datacenter Name,Facility Owner,Data Center Tenancy,Datacenter Operational Status,Year Built,Datacenter Type,Street Address,Country,City,Zip Code,Latitude,Longitude, Total Operational Space , Total Operational Space Utilized ,Total UPS Power (kW) ,Total UPS Power Utilized (kW),Total Utility Power (kW) ,PUE,Total Racks 
2018,4,43,4D,4D Surrey,4D,Multi,Operational,2008,Retail,122 Oyster Ln.,United Kingdom,Byfleet,KT14 7JU,51.3472918,-0.4801735,7000,5810,750,623,900,1.2,194
2019,4,43,4D,4D Surrey,4D,Multi,Operational,2008,Retail,122 Oyster Ln.,United Kingdom,Byfleet,KT14 7JU,51.3472918,-0.4801735,7000,5810,750,623,900,1.2,194
2020,4,43,4D,4D Surrey,4D,Multi,Operational,2008,Retail,122 Oyster Ln.,United Kingdom,Byfleet,KT14 7JU,51.3472918,-0.4801735,7000,5810,750,623,900,1.2,194
2018,4,44,4D,4D Docklands,Digital Realty,Multi,Operational,,Retail,215 Marsh Wall,United Kingdom,London,E14 9FJ,51.5006433,-0.0117642,800,640,110,88,221,2,22
2019,4,44,4D,4D Docklands,Digital Realty,Multi,Operational,,Retail,215 Marsh Wall,United Kingdom,London,E14 9FJ,51.5006433,-0.0117642,800,640,110,88,221,2,22
2020,4,44,4D,4D Docklands,Digital Realty,Multi,Operational,,Retail,215 Marsh Wall,United Kingdom,London,E14 9FJ,51.5006433,-0.0117642,800,640,110,88,221,2,22
2018,4,46,4D,4D City,Redcentric,Multi,Operational,1993,Retail,80 Clifton St.,United Kingdom,London,EC2A 4HB,51.5230113,-0.0828949,800,640,110,88,220,2,22
2019,4,46,4D,4D City,Redcentric,Multi,Operational,1993,Retail,80 Clifton St.,United Kingdom,London,EC2A 4HB,51.5230113,-0.0828949,800,640,110,88,220,2,22
2020,4,46,4D,4D City,Redcentric,Multi,Operational,1993,Retail,80 Clifton St.,United Kingdom,London,EC2A 4HB,51.5230113,-0.0828949,800,640,110,88,220,2,22
2018,4,51,Rackspace,LON1,CenturyLink,Multi,Operational,,Retail,260-266 Goswell Rd.,United Kingdom,London,EC1V 7EB,51.5287004,-0.1010349,4200,3024,252,181,454,1.8,117
